date,closing,adjusted,evolution,quantity,volume
08/05/2020,"63,90","63,90","0,25",300,19170
11/05/2020,"63,90","63,90","0,00",0,0
12/05/2020,"63,97","63,97","0,11",53,"3401,91"
13/05/2020,"63,49","63,49","-0,75",6,"380,98"
14/05/2020,"63,50","63,50","0,02",47,"2984,15"
15/05/2020,"63,00","63,00","-0,79",2688,"170085,5"
18/05/2020,"63,90","63,90","1,43",30,1917
19/05/2020,"63,00","63,00","-1,41",5134,"327997,16"
20/05/2020,"64,20","64,20","1,90",3527,"226402,4"
21/05/2020,"63,20","63,20","-1,56",620,39184
22/05/2020,"65,00","65,00","2,85",7443,"483929,71"
26/05/2020,"66,30","66,30","2,00",6809,"451962,6"
27/05/2020,"64,00","64,00","1,59",1147,"73421,1"
28/05/2020,"65,50","65,50","2,34",4358,279788
29/05/2020,"65,39","65,39","-0,17",406,"26059,94"
01/06/2020,"65,39","65,39","0,00",0,0
02/06/2020,"68,00","68,00","3,99",63380,4309803
03/06/2020,"70,71","70,71","3,99",20,"1414,2"
04/06/2020,"72,99","72,99","3,22",17354,"1259944,14"
05/06/2020,"71,00","71,00","-2,73",5537,"391930,66"
08/06/2020,"71,00","71,00","0,00",1050,"74478,5"
09/06/2020,"68,18","68,18","-3,97",4877,"335115,73"
10/06/2020,"69,00","69,00","1,20",1415,"96955,3"
11/06/2020,"68,00","68,00","-1,45",611,41516
12/06/2020,"68,00","68,00","0,00",1620,110040
15/06/2020,"68,00","68,00","0,00",70,4760
16/06/2020,"68,50","68,50","0,74",4429,"297759,89"
17/06/2020,"71,23","71,23","3,99",9855,"692481,03"
18/06/2020,"70,99","70,99","-0,34",4910,"355171,28"
19/06/2020,"71,90","71,90","1,28",3010,"216481,62"
22/06/2020,"71,90","71,90","0,00",200,14380
23/06/2020,"70,70","70,70","-1,67",4151,"289751,2"
24/06/2020,"70,80","70,80","0,14",821,"56742,6"
25/06/2020,"71,00","71,00","0,28",2216,"156093,68"
26/06/2020,"71,00","71,00","0,00",0,0
29/06/2020,"71,00","71,00","0,00",500,"35497,9"
30/06/2020,"69,85","69,85","-1,62",3606,"249552,91"
01/07/2020,"68,84","68,84","-1,45",2227,"149765,36"
02/07/2020,"69,00","69,00","0,23",3185,"217282,28"
03/07/2020,"69,99","69,99","1,43",1561,109038
06/07/2020,"69,99","69,99","0,00",0,0
07/07/2020,"68,50","68,50","-2,13",60,4080
08/07/2020,"69,79","69,79","1,88",404,"27943,68"
09/07/2020,"69,79","69,79","0,00",0,0
10/07/2020,"69,75","69,75","-0,06",86,5986
13/07/2020,"69,75","69,75","0,00",0,0
14/07/2020,"69,00","69,00","-1,08",70,4830
15/07/2020,"69,00","69,00","0,00",0,0
16/07/2020,"69,00","69,00","0,00",0,0
17/07/2020,"69,69","69,69","1,00",200,"13921,28"
20/07/2020,"69,69","69,69","0,00",440,"30652,84"
21/07/2020,"69,69","69,69","0,00",0,0
22/07/2020,"69,00","69,00","-0,99",10000,690000
23/07/2020,"69,50","69,50","0,72",1870,"129780,27"
24/07/2020,"69,50","69,50","0,00",3994,"275520,95"
27/07/2020,"69,00","69,00","-0,72",9946,"686274,49"
28/07/2020,"69,79","69,79","1,14",1085,"75539,3"
29/07/2020,"69,78","69,78","-0,01",220,"15316,2"
03/08/2020,"69,75","69,75","-0,04",17,"1185,75"
04/08/2020,"71,36","71,36","2,31",1282,"90012,28"
05/08/2020,"71,10","71,10","-0,36",393,"28054,45"
06/08/2020,"70,00","70,00","-1,55",1060,74161
07/08/2020,"72,00","72,00","2,86",305,"21703,55"
10/08/2020,"70,00","70,00","-2,78",1435,"100456,2"
11/08/2020,"70,00","70,00","0,00",0,0
12/08/2020,"71,00","71,00","1,43",1221,"84670,9"
13/08/2020,"70,00","70,00","-1,41",1725,"118030,15"
17/08/2020,"72,00","72,00","2,86",1300,92600
18/08/2020,"72,00","72,00","0,00",1586,"113986,8"
19/08/2020,"71,00","71,00","-1,39",5495,"390361,9"
24/08/2020,"72,99","72,99","2,80",209,"15146,56"
25/08/2020,"72,50","72,50","-0,67",397,"28659,93"
26/08/2020,"73,40","73,40","1,24",15,"1096,6"
27/08/2020,"72,39","72,39","-1,38",100,7239
28/08/2020,"72,50","72,50","0,15",919,"66325,75"
31/08/2020,"72,50","72,50","0,00",306,"22158,4"
01/09/2020,"73,00","73,00","0,69",2231,"162263,05"
02/09/2020,"73,00","73,00","0,00",0,0
03/09/2020,"72,00","72,00","-1,37",127,9080
04/09/2020,"70,00","70,00","-2,78",5221,"366443,45"
07/09/2020,"71,50","71,50","2,14",1,"71,5"
08/09/2020,"71,40","71,40","-0,14",140,"9995,11"
09/09/2020,"72,50","72,50","1,54",123232,"8639641,9"
10/09/2020,"72,38","72,38","-0,17",320,"23135,2"
11/09/2020,"74,00","74,00","2,24",25218,"1849630,8"
14/09/2020,"76,50","76,50","3,38",2916,"221079,2"
15/09/2020,"77,50","77,50","1,31",1763,"137116,2"
16/09/2020,"78,00","78,00","0,65",102,"7935,03"
17/09/2020,"77,03","77,03","-1,24",149,"11477,47"
18/09/2020,"76,00","76,00","-1,34",1913,"145418,25"
21/09/2020,"76,90","76,90","1,18",991,"74566,32"
22/09/2020,"76,00","76,00","-1,17",1787,"135855,5"
23/09/2020,"77,30","77,30","1,71",130,9949
24/09/2020,"77,00","77,00","-0,39",1011,77852
25/09/2020,"77,50","77,50","0,65",257,"19976,98"
28/09/2020,"78,70","78,70","1,55",1140,89718
29/09/2020,"78,00","78,00","-0,89",830,"64165,52"
30/09/2020,"78,50","78,50","0,64",942,73616
01/10/2020,"78,50","78,50","0,00",1389,"108405,6"
02/10/2020,"78,50","78,50","0,00",2074,161264
05/10/2020,"77,50","77,50","-1,27",159,"12361,5"
06/10/2020,"78,50","78,50","1,29",622,"48802,23"
07/10/2020,"79,50","79,50","1,27",3171,"249923,89"
08/10/2020,"80,50","80,50","1,26",10174,"813722,25"
09/10/2020,"81,00","81,00","0,62",4,"322,5"
12/10/2020,"78,60","78,60","-2,96",1790,"140866,95"
13/10/2020,"79,50","79,50","1,15",2062,"162835,34"
14/10/2020,"80,50","80,50","1,26",997,79653
15/10/2020,"79,90","79,90","-0,75",550,44305
16/10/2020,"80,50","80,50","0,75",2780,"222629,5"
19/10/2020,"80,00","80,00","-0,62",360,28800
20/10/2020,"79,00","79,00","-1,25",1915,"152148,72"
21/10/2020,"80,00","80,00","1,27",301,24006
22/10/2020,"79,95","79,95","-0,06",3086,"244718,45"
23/10/2020,"80,00","80,00","0,06",3130,"250049,4"
26/10/2020,"80,00","80,00","0,00",380,"30366,79"
27/10/2020,"79,98","79,98","-0,03",640,"50565,87"
28/10/2020,"79,98","79,98","0,00",492,"38812,38"
02/11/2020,"80,99","80,99","1,26",350,"28346,5"
03/11/2020,"80,80","80,80","-0,23",150,12120
04/11/2020,"80,00","80,00","-0,99",592,47360
05/11/2020,"81,00","81,00","1,25",2394,"194376,9"
09/11/2020,"81,90","81,90","1,11",198,"16022,4"
10/11/2020,"80,00","80,00","-2,32",70,5600
11/11/2020,"80,00","80,00","0,00",10020,"801584,7"
12/11/2020,"82,50","82,50","3,13",318,"26164,2"
13/11/2020,"82,50","82,50","0,00",401,"33080,86"
16/11/2020,"82,50","82,50","0,00",602,"49259,94"
17/11/2020,"80,86","80,86","-1,99",20,"1622,9"
19/11/2020,"82,00","82,00","1,41",425,34850
20/11/2020,"82,29","82,29","0,35",2373,195273
23/11/2020,"82,17","82,17","-0,15",3,"246,51"
24/11/2020,"82,17","82,17","0,00",340,"27937,8"
25/11/2020,"81,98","81,98","-0,23",1160,"94865,5"
26/11/2020,"81,97","81,97","-0,01",1060,86130
27/11/2020,"81,90","81,90","-0,09",3109,"254623,5"
30/11/2020,"81,00","81,00","-1,10",145,"11757,6"
01/12/2020,"81,90","81,90","1,11",281,"22773,5"
02/12/2020,"81,50","81,50","-0,49",868,70492
03/12/2020,"81,00","81,00","-0,61",298,"24138,3"
04/12/2020,"81,95","81,95","1,17",870,"71277,5"
