date,closing,adjusted,evolution,quantity,volume
19/05/2020,"1001,00","1001,00","0,00",1,1001
20/05/2020,"1001,00","1001,00","0,00",1,1001
21/05/2020,"1001,00","1001,00","0,00",1,1001
22/05/2020,"1001,00","1001,00","0,00",1,1001
26/05/2020,"1001,00","1001,00","0,00",1,1001
27/05/2020,"1020,00","1020,00","1,90",45,45895
28/05/2020,"1020,00","1020,00","0,00",1,1020
29/05/2020,"1000,00","1000,00","-1,96",46,46000
01/06/2020,"1004,00","1004,00","0,40",1,1004
02/06/2020,"1004,00","1004,00","0,00",1,1004
03/06/2020,"1005,00","1005,00","0,10",1,1005
04/06/2020,"1005,00","1005,00","0,00",1,1005
05/06/2020,"1005,00","1005,00","0,00",1,1005
08/06/2020,"1005,00","1005,00","0,00",1,1005
09/06/2020,"1005,00","1005,00","0,00",1,1005
10/06/2020,"985,00","985,00","-1,99",26,25610
11/06/2020,"989,00","989,00","0,41",1,989
12/06/2020,"995,00","995,00","0,61",1,995
15/06/2020,"1000,00","1000,00","0,50",1,1000
16/06/2020,"1002,00","1002,00","0,20",1,1002
17/06/2020,"1022,00","1022,00","2,00",40,40880
18/06/2020,"1025,00","1025,00","0,29",1,1025
19/06/2020,"1025,00","1025,00","0,00",1,1025
22/06/2020,"1005,00","1005,00","-1,95",41,41244
23/06/2020,"1005,00","1005,00","0,00",1,1005
24/06/2020,"1005,00","1005,00","0,00",1,1005
25/06/2020,"1005,00","1005,00","0,00",1,1005
26/06/2020,"1005,00","1005,00","0,00",1,1005
29/06/2020,"1005,00","1005,00","0,00",1,1005
30/06/2020,"1005,00","1005,00","0,00",1,1005
01/07/2020,"986,00","986,00","-1,89",8,7888
02/07/2020,"994,00","994,00","0,81",1,994
03/07/2020,"1000,00","1000,00","0,60",1,1000
06/07/2020,"1004,00","1004,00","0,40",1,1004
07/07/2020,"1004,00","1004,00","0,00",1,1004
08/07/2020,"1004,00","1004,00","0,00",1,1004
09/07/2020,"1004,00","1004,00","0,00",1,1004
10/07/2020,"1004,00","1004,00","0,00",1,1004
13/07/2020,"1004,00","1004,00","0,00",1,1004
14/07/2020,"1004,00","1004,00","0,00",1,1004
15/07/2020,"1010,00","1010,00","0,60",2,2020
16/07/2020,"1009,00","1009,00","-0,10",1,1009
17/07/2020,"1000,00","1000,00","-0,89",2870,2870000
